Method: MySQL-SelectValueByKey 	Threads: 200 	DataSize: 64 	RequsetCount: 500000  	TPS: 31061.7 	MB/sec: 1.864
Method: MySQL-InsertAndSelect 	Threads: 200 	DataSize: 64 	RequsetCount: 500000  	TPS: 3940.1 	MB/sec: 0.236
Method: MySQL-InsertKeyValue 	Threads: 200 	DataSize: 128 	RequsetCount: 500000  	TPS: 2592.0 	MB/sec: 0.316
Method: MySQL-SelectValueByKey 	Threads: 200 	DataSize: 128 	RequsetCount: 500000  	TPS: 3611.0 	MB/sec: 0.441
Method: MySQL-InsertAndSelect 	Threads: 200 	DataSize: 128 	RequsetCount: 500000  	TPS: 4664.4 	MB/sec: 0.569
Method: MySQL-InsertKeyValue 	Threads: 200 	DataSize: 256 	RequsetCount: 500000  	TPS: 3113.2 	MB/sec: 0.760
Method: MySQL-SelectValueByKey 	Threads: 200 	DataSize: 256 	RequsetCount: 500000  	TPS: 14144.3 	MB/sec: 3.451
Method: MySQL-InsertAndSelect 	Threads: 200 	DataSize: 256 	RequsetCount: 500000  	TPS: 5282.6 	MB/sec: 1.289
Method: MySQL-InsertKeyValue 	Threads: 200 	DataSize: 512 	RequsetCount: 500000  	TPS: 3508.5 	MB/sec: 1.712
Method: MySQL-SelectValueByKey 	Threads: 200 	DataSize: 512 	RequsetCount: 500000  	TPS: 30510.1 	MB/sec: 14.889
Method: MySQL-InsertAndSelect 	Threads: 200 	DataSize: 512 	RequsetCount: 500000  	TPS: 5765.6 	MB/sec: 2.814
Method: MySQL-InsertKeyValue 	Threads: 200 	DataSize: 1024 	RequsetCount: 500000  	TPS: 3409.9 	MB/sec: 3.328
Method: MySQL-SelectValueByKey 	Threads: 200 	DataSize: 1024 	RequsetCount: 500000  	TPS: 5154.7 	MB/sec: 5.031
Method: MySQL-InsertAndSelect 	Threads: 200 	DataSize: 1024 	RequsetCount: 500000  	TPS: 6583.4 	MB/sec: 6.425
