Method:        Redis-Get 	Threads: 200 	DataSize: 128 	RequsetCount: 500000  	TPS: 57730.1 	MB/sec: 7.043
Method:  Redis-SetAndGet 	Threads: 200 	DataSize: 128 	RequsetCount: 500000  	TPS: 57123.3 	MB/sec: 6.969
Method:        Redis-Set 	Threads: 200 	DataSize: 256 	RequsetCount: 500000  	TPS: 56085.3 	MB/sec: 13.685
Method:        Redis-Get 	Threads: 200 	DataSize: 256 	RequsetCount: 500000  	TPS: 57756.7 	MB/sec: 14.093
Method:  Redis-SetAndGet 	Threads: 200 	DataSize: 256 	RequsetCount: 500000  	TPS: 58031.6 	MB/sec: 14.160
Method:        Redis-Set 	Threads: 200 	DataSize: 512 	RequsetCount: 500000  	TPS: 55181.5 	MB/sec: 26.929
Method:        Redis-Get 	Threads: 200 	DataSize: 512 	RequsetCount: 500000  	TPS: 56773.0 	MB/sec: 27.705
Method:  Redis-SetAndGet 	Threads: 200 	DataSize: 512 	RequsetCount: 500000  	TPS: 56863.4 	MB/sec: 27.749
Method:        Redis-Set 	Threads: 200 	DataSize: 1024 	RequsetCount: 500000  	TPS: 51953.5 	MB/sec: 50.707
Method:        Redis-Get 	Threads: 200 	DataSize: 1024 	RequsetCount: 500000  	TPS: 54206.4 	MB/sec: 52.905
Method:  Redis-SetAndGet 	Threads: 200 	DataSize: 1024 	RequsetCount: 500000  	TPS: 55407.8 	MB/sec: 54.078
