Method:  Mongodb-FindDoc 	Threads: 200 	DataSize: 64 	RequsetCount: 500000  	TPS: 23807.3 	MB/sec: 1.428
Method: Mongodb-InsertAndFind 	Threads: 200 	DataSize: 64 	RequsetCount: 500000  	TPS: 2524.4 	MB/sec: 0.151
Method: Mongodb-InsertDoc 	Threads: 200 	DataSize: 128 	RequsetCount: 500000  	TPS: 17977.2 	MB/sec: 2.193
Method:  Mongodb-FindDoc 	Threads: 200 	DataSize: 128 	RequsetCount: 500000  	TPS: 23188.9 	MB/sec: 2.829
Method: Mongodb-InsertAndFind 	Threads: 200 	DataSize: 128 	RequsetCount: 500000  	TPS: 2618.1 	MB/sec: 0.319
Method: Mongodb-InsertDoc 	Threads: 200 	DataSize: 256 	RequsetCount: 500000  	TPS: 16833.3 	MB/sec: 4.107
Method:  Mongodb-FindDoc 	Threads: 200 	DataSize: 256 	RequsetCount: 500000  	TPS: 22615.2 	MB/sec: 5.518
Method: Mongodb-InsertAndFind 	Threads: 200 	DataSize: 256 	RequsetCount: 500000  	TPS: 2438.0 	MB/sec: 0.595
Method: Mongodb-InsertDoc 	Threads: 200 	DataSize: 512 	RequsetCount: 500000  	TPS: 17140.3 	MB/sec: 8.364
Method:  Mongodb-FindDoc 	Threads: 200 	DataSize: 512 	RequsetCount: 500000  	TPS: 23665.3 	MB/sec: 11.549
Method: Mongodb-InsertAndFind 	Threads: 200 	DataSize: 512 	RequsetCount: 500000  	TPS: 2404.8 	MB/sec: 1.174
Method: Mongodb-InsertDoc 	Threads: 200 	DataSize: 1024 	RequsetCount: 500000  	TPS: 16232.2 	MB/sec: 15.843
Method:  Mongodb-FindDoc 	Threads: 200 	DataSize: 1024 	RequsetCount: 500000  	TPS: 23058.5 	MB/sec: 22.505
Method: Mongodb-InsertAndFind 	Threads: 200 	DataSize: 1024 	RequsetCount: 500000  	TPS: 2403.5 	MB/sec: 2.346
