Method: MySQL-InsertKeyValue 	Threads: 50 	DataSize: 64 	RequsetCount: 500000  	TPS: 23574.9 	MB/sec: 1.414
Method: MySQL-SelectValueByKey 	Threads: 50 	DataSize: 64 	RequsetCount: 500000  	TPS: 11583.2 	MB/sec: 0.695
Method: MySQL-InsertAndSelect 	Threads: 50 	DataSize: 64 	RequsetCount: 500000  	TPS: 30010.2 	MB/sec: 1.801
Method: MySQL-InsertKeyValue 	Threads: 50 	DataSize: 128 	RequsetCount: 500000  	TPS: 23702.3 	MB/sec: 2.892
Method: MySQL-SelectValueByKey 	Threads: 50 	DataSize: 128 	RequsetCount: 500000  	TPS: 30936.8 	MB/sec: 3.774
Method: MySQL-InsertAndSelect 	Threads: 50 	DataSize: 128 	RequsetCount: 500000  	TPS: 29557.8 	MB/sec: 3.606
Method: MySQL-InsertKeyValue 	Threads: 50 	DataSize: 256 	RequsetCount: 500000  	TPS: 23681.0 	MB/sec: 5.778
Method: MySQL-SelectValueByKey 	Threads: 50 	DataSize: 256 	RequsetCount: 500000  	TPS: 13612.1 	MB/sec: 3.321
Method: MySQL-InsertAndSelect 	Threads: 50 	DataSize: 256 	RequsetCount: 500000  	TPS: 29391.0 	MB/sec: 7.171
Method: MySQL-InsertKeyValue 	Threads: 50 	DataSize: 512 	RequsetCount: 500000  	TPS: 20931.9 	MB/sec: 10.215
Method: MySQL-SelectValueByKey 	Threads: 50 	DataSize: 512 	RequsetCount: 500000  	TPS: 22705.6 	MB/sec: 11.080
Method: MySQL-InsertAndSelect 	Threads: 50 	DataSize: 512 	RequsetCount: 500000  	TPS: 26127.4 	MB/sec: 12.750
Method: MySQL-InsertKeyValue 	Threads: 50 	DataSize: 1024 	RequsetCount: 500000  	TPS: 10353.9 	MB/sec: 10.105
Method: MySQL-SelectValueByKey 	Threads: 50 	DataSize: 1024 	RequsetCount: 500000  	TPS: 27534.6 	MB/sec: 26.874
Method: MySQL-InsertAndSelect 	Threads: 50 	DataSize: 1024 	RequsetCount: 500000  	TPS: 20642.4 	MB/sec: 20.147
Method: MySQL-InsertKeyValue 	Threads: 100 	DataSize: 64 	RequsetCount: 500000  	TPS: 17744.3 	MB/sec: 1.065
Method: MySQL-SelectValueByKey 	Threads: 100 	DataSize: 64 	RequsetCount: 500000  	TPS: 6040.8 	MB/sec: 0.362
Method: MySQL-InsertAndSelect 	Threads: 100 	DataSize: 64 	RequsetCount: 500000  	TPS: 27015.3 	MB/sec: 1.621
Method: MySQL-InsertKeyValue 	Threads: 100 	DataSize: 128 	RequsetCount: 500000  	TPS: 18619.9 	MB/sec: 2.272
Method: MySQL-SelectValueByKey 	Threads: 100 	DataSize: 128 	RequsetCount: 500000  	TPS: 5403.7 	MB/sec: 0.659
Method: MySQL-InsertAndSelect 	Threads: 100 	DataSize: 128 	RequsetCount: 500000  	TPS: 29007.4 	MB/sec: 3.539
Method: MySQL-InsertKeyValue 	Threads: 100 	DataSize: 256 	RequsetCount: 500000  	TPS: 21654.4 	MB/sec: 5.284
Method: MySQL-SelectValueByKey 	Threads: 100 	DataSize: 256 	RequsetCount: 500000  	TPS: 7232.9 	MB/sec: 1.765
