Method:        Redis-Get 	Threads: 200 	DataSize: 128 	RequsetCount: 500000  	TPS: 60812.5 	MB/sec: 7.419
Method:  Redis-SetAndGet 	Threads: 200 	DataSize: 128 	RequsetCount: 500000  	TPS: 56856.9 	MB/sec: 6.937
Method:        Redis-Set 	Threads: 200 	DataSize: 256 	RequsetCount: 500000  	TPS: 56243.0 	MB/sec: 13.723
Method:        Redis-Get 	Threads: 200 	DataSize: 256 	RequsetCount: 500000  	TPS: 56395.2 	MB/sec: 13.760
Method:  Redis-SetAndGet 	Threads: 200 	DataSize: 256 	RequsetCount: 500000  	TPS: 56401.6 	MB/sec: 13.762
Method:        Redis-Set 	Threads: 200 	DataSize: 512 	RequsetCount: 500000  	TPS: 47650.8 	MB/sec: 23.254
Method:        Redis-Get 	Threads: 200 	DataSize: 512 	RequsetCount: 500000  	TPS: 56300.0 	MB/sec: 27.474
Method:  Redis-SetAndGet 	Threads: 200 	DataSize: 512 	RequsetCount: 500000  	TPS: 56255.6 	MB/sec: 27.453
Method:        Redis-Set 	Threads: 200 	DataSize: 1024 	RequsetCount: 500000  	TPS: 31776.3 	MB/sec: 31.014
Method:        Redis-Get 	Threads: 200 	DataSize: 1024 	RequsetCount: 500000  	TPS: 54112.6 	MB/sec: 52.814
Method:  Redis-SetAndGet 	Threads: 200 	DataSize: 1024 	RequsetCount: 500000  	TPS: 54418.8 	MB/sec: 53.113
