Method:        Redis-Get 	Threads: 200 	DataSize: 128 	RequsetCount: 500000  	TPS: 60060.1 	MB/sec: 7.327
Method:  Redis-SetAndGet 	Threads: 200 	DataSize: 128 	RequsetCount: 500000  	TPS: 59220.7 	MB/sec: 7.225
Method:        Redis-Set 	Threads: 200 	DataSize: 256 	RequsetCount: 500000  	TPS: 58424.9 	MB/sec: 14.256
Method:        Redis-Get 	Threads: 200 	DataSize: 256 	RequsetCount: 500000  	TPS: 59559.3 	MB/sec: 14.532
Method:  Redis-SetAndGet 	Threads: 200 	DataSize: 256 	RequsetCount: 500000  	TPS: 58865.1 	MB/sec: 14.363
Method:        Redis-Set 	Threads: 200 	DataSize: 512 	RequsetCount: 500000  	TPS: 55660.7 	MB/sec: 27.162
Method:        Redis-Get 	Threads: 200 	DataSize: 512 	RequsetCount: 500000  	TPS: 57280.3 	MB/sec: 27.953
Method:  Redis-SetAndGet 	Threads: 200 	DataSize: 512 	RequsetCount: 500000  	TPS: 57836.9 	MB/sec: 28.224
Method:        Redis-Set 	Threads: 200 	DataSize: 1024 	RequsetCount: 500000  	TPS: 54224.1 	MB/sec: 52.923
Method:        Redis-Get 	Threads: 200 	DataSize: 1024 	RequsetCount: 500000  	TPS: 55947.2 	MB/sec: 54.604
Method:  Redis-SetAndGet 	Threads: 200 	DataSize: 1024 	RequsetCount: 500000  	TPS: 55710.3 	MB/sec: 54.373
