Method: MySQL-InsertKeyValue 	Threads: 50 	DataSize: 64 	RequsetCount: 500000  	TPS: 6337.2 	MB/sec: 0.380
Method: MySQL-SelectValueByKey 	Threads: 50 	DataSize: 64 	RequsetCount: 500000  	TPS: 32948.9 	MB/sec: 1.977
Method: MySQL-InsertAndSelect 	Threads: 50 	DataSize: 64 	RequsetCount: 500000  	TPS: 12376.9 	MB/sec: 0.743
Method: MySQL-InsertKeyValue 	Threads: 50 	DataSize: 128 	RequsetCount: 500000  	TPS: 6594.7 	MB/sec: 0.805
Method: MySQL-SelectValueByKey 	Threads: 50 	DataSize: 128 	RequsetCount: 500000  	TPS: 31494.1 	MB/sec: 3.842
Method: MySQL-InsertAndSelect 	Threads: 50 	DataSize: 128 	RequsetCount: 500000  	TPS: 13680.6 	MB/sec: 1.669
Method: MySQL-InsertKeyValue 	Threads: 50 	DataSize: 256 	RequsetCount: 500000  	TPS: 6566.9 	MB/sec: 1.602
Method: MySQL-SelectValueByKey 	Threads: 50 	DataSize: 256 	RequsetCount: 500000  	TPS: 26577.4 	MB/sec: 6.485
Method: MySQL-InsertAndSelect 	Threads: 50 	DataSize: 256 	RequsetCount: 500000  	TPS: 13345.8 	MB/sec: 3.256
Method: MySQL-InsertKeyValue 	Threads: 50 	DataSize: 512 	RequsetCount: 500000  	TPS: 6514.3 	MB/sec: 3.179
Method: MySQL-SelectValueByKey 	Threads: 50 	DataSize: 512 	RequsetCount: 500000  	TPS: 19655.6 	MB/sec: 9.592
Method: MySQL-InsertAndSelect 	Threads: 50 	DataSize: 512 	RequsetCount: 500000  	TPS: 11877.0 	MB/sec: 5.796
Method: MySQL-InsertKeyValue 	Threads: 50 	DataSize: 1024 	RequsetCount: 500000  	TPS: 5156.3 	MB/sec: 5.033
Method: MySQL-SelectValueByKey 	Threads: 50 	DataSize: 1024 	RequsetCount: 500000  	TPS: 30367.4 	MB/sec: 29.639
Method: MySQL-InsertAndSelect 	Threads: 50 	DataSize: 1024 	RequsetCount: 500000  	TPS: 8208.0 	MB/sec: 8.011
Method: MySQL-InsertKeyValue 	Threads: 100 	DataSize: 64 	RequsetCount: 500000  	TPS: 3351.5 	MB/sec: 0.201
Method: MySQL-SelectValueByKey 	Threads: 100 	DataSize: 64 	RequsetCount: 500000  	TPS: 8493.0 	MB/sec: 0.510
Method: MySQL-InsertAndSelect 	Threads: 100 	DataSize: 64 	RequsetCount: 500000  	TPS: 7470.7 	MB/sec: 0.448
Method: MySQL-InsertKeyValue 	Threads: 100 	DataSize: 128 	RequsetCount: 500000  	TPS: 3617.3 	MB/sec: 0.441
Method: MySQL-SelectValueByKey 	Threads: 100 	DataSize: 128 	RequsetCount: 500000  	TPS: 7565.2 	MB/sec: 0.923
Method: MySQL-InsertAndSelect 	Threads: 100 	DataSize: 128 	RequsetCount: 500000  	TPS: 8152.9 	MB/sec: 0.995
Method: MySQL-InsertKeyValue 	Threads: 100 	DataSize: 256 	RequsetCount: 500000  	TPS: 4044.7 	MB/sec: 0.987
