Method: MySQL-SelectValueByKey 	Threads: 200 	DataSize: 64 	RequsetCount: 500000  	TPS: 14483.9 	MB/sec: 0.869
Method: MySQL-InsertAndSelect 	Threads: 200 	DataSize: 64 	RequsetCount: 500000  	TPS: 23672.0 	MB/sec: 1.420
Method: MySQL-InsertKeyValue 	Threads: 200 	DataSize: 128 	RequsetCount: 500000  	TPS: 18325.1 	MB/sec: 2.236
Method: MySQL-SelectValueByKey 	Threads: 200 	DataSize: 128 	RequsetCount: 500000  	TPS: 14458.0 	MB/sec: 1.764
Method: MySQL-InsertAndSelect 	Threads: 200 	DataSize: 128 	RequsetCount: 500000  	TPS: 23693.3 	MB/sec: 2.891
Method: MySQL-InsertKeyValue 	Threads: 200 	DataSize: 256 	RequsetCount: 500000  	TPS: 18263.5 	MB/sec: 4.456
Method: MySQL-SelectValueByKey 	Threads: 200 	DataSize: 256 	RequsetCount: 500000  	TPS: 14361.2 	MB/sec: 3.504
Method: MySQL-InsertAndSelect 	Threads: 200 	DataSize: 256 	RequsetCount: 500000  	TPS: 23420.3 	MB/sec: 5.715
Method: MySQL-InsertKeyValue 	Threads: 200 	DataSize: 512 	RequsetCount: 500000  	TPS: 17948.2 	MB/sec: 8.759
Method: MySQL-SelectValueByKey 	Threads: 200 	DataSize: 512 	RequsetCount: 500000  	TPS: 14666.6 	MB/sec: 7.157
Method: MySQL-InsertAndSelect 	Threads: 200 	DataSize: 512 	RequsetCount: 500000  	TPS: 23126.7 	MB/sec: 11.286
Method: MySQL-InsertKeyValue 	Threads: 200 	DataSize: 1024 	RequsetCount: 500000  	TPS: 17386.5 	MB/sec: 16.969
Method: MySQL-SelectValueByKey 	Threads: 200 	DataSize: 1024 	RequsetCount: 500000  	TPS: 14341.0 	MB/sec: 13.997
Method: MySQL-InsertAndSelect 	Threads: 200 	DataSize: 1024 	RequsetCount: 500000  	TPS: 22594.8 	MB/sec: 22.053
