27.756: [GC [PSYoungGen: 174080K->256K(174272K)] 175160K->1400K(523840K), 0.0005624 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
28.374: [GC [PSYoungGen: 174080K->256K(174272K)] 175224K->1400K(523840K), 0.0005120 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
28.976: [GC [PSYoungGen: 174080K->256K(174272K)] 175224K->1400K(523840K), 0.0008359 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
29.521: [GC [PSYoungGen: 174080K->256K(174336K)] 175224K->1400K(523904K), 0.0007332 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
30.059: [GC [PSYoungGen: 174208K->256K(174336K)] 175352K->1400K(523904K), 0.0006154 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
30.616: [GC [PSYoungGen: 174208K->256K(174336K)] 175352K->1400K(523904K), 0.0006057 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.172: [GC [PSYoungGen: 174208K->256K(174336K)] 175352K->1400K(523904K), 0.0008537 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.714: [GC [PSYoungGen: 174208K->256K(174336K)] 175352K->1400K(523904K), 0.0006066 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
32.160: [GC [PSYoungGen: 174208K->256K(174336K)] 175352K->1464K(523904K), 0.0007335 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
32.618: [GC [PSYoungGen: 174208K->256K(174336K)] 175416K->1464K(523904K), 0.0004922 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
33.071: [GC [PSYoungGen: 174208K->256K(174336K)] 175416K->1464K(523904K), 0.0005283 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
33.519: [GC [PSYoungGen: 174208K->256K(174400K)] 175416K->1464K(523968K), 0.0007673 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
34.039: [GC [PSYoungGen: 174336K->256K(174400K)] 175544K->1464K(523968K), 0.0006678 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
34.514: [GC [PSYoungGen: 174336K->256K(174400K)] 175544K->1464K(523968K), 0.0005845 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
34.967: [GC [PSYoungGen: 174336K->256K(174400K)] 175544K->1464K(523968K), 0.0005816 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
35.471: [GC [PSYoungGen: 174336K->256K(174400K)] 175544K->1464K(523968K), 0.0005630 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
35.975: [GC [PSYoungGen: 174336K->256K(174400K)] 175544K->1464K(523968K), 0.0005648 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
36.444: [GC [PSYoungGen: 174336K->256K(174400K)] 175544K->1464K(523968K), 0.0005971 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
36.954: [GC [PSYoungGen: 174335K->256K(174400K)] 175544K->1464K(523968K), 0.0005167 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
37.428: [GC [PSYoungGen: 174336K->256K(174400K)] 175544K->1464K(523968K), 0.0006345 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
37.884: [GC [PSYoungGen: 174336K->256K(174400K)] 175544K->1464K(523968K), 0.0007314 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
38.346: [GC [PSYoungGen: 174336K->256K(174400K)] 175544K->1528K(523968K), 0.0007109 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
38.766: [GC [PSYoungGen: 174336K->256K(174400K)] 175608K->1528K(523968K), 0.0005355 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
39.185: [GC [PSYoungGen: 174336K->256K(174400K)] 175608K->1528K(523968K), 0.0006267 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
39.600: [GC [PSYoungGen: 174336K->256K(174400K)] 175608K->1528K(523968K), 0.0005299 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
40.017: [GC [PSYoungGen: 174336K->256K(174400K)] 175608K->1528K(523968K), 0.0005997 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
40.436: [GC [PSYoungGen: 174336K->256K(174400K)] 175608K->1528K(523968K), 0.0006122 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
40.850: [GC [PSYoungGen: 174336K->256K(174400K)] 175608K->1528K(523968K), 0.0005201 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
41.265: [GC [PSYoungGen: 174336K->256K(174400K)] 175608K->1528K(523968K), 0.0006232 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
41.680: [GC [PSYoungGen: 174336K->256K(174400K)] 175608K->1528K(523968K), 0.0006358 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
42.105: [GC [PSYoungGen: 174336K->256K(174400K)] 175608K->1528K(523968K), 0.0005401 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
42.570: [GC [PSYoungGen: 174336K->256K(174400K)] 175608K->1592K(523968K), 0.0006892 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
42.993: [GC [PSYoungGen: 174336K->256K(174400K)] 175672K->1592K(523968K), 0.0005080 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
43.390: [GC [PSYoungGen: 174336K->288K(174400K)] 175672K->1624K(523968K), 0.0007589 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
