14.544: [GC [PSYoungGen: 694465K->2593K(695616K)] 696706K->4890K(2093760K), 0.0009523 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
14.818: [GC [PSYoungGen: 694753K->2561K(695552K)] 697050K->4914K(2093696K), 0.0009614 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
15.118: [GC [PSYoungGen: 694721K->2577K(695680K)] 697074K->5010K(2093824K), 0.0009041 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
15.425: [GC [PSYoungGen: 694865K->2561K(695616K)] 697298K->5130K(2093760K), 0.0009049 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
15.731: [GC [PSYoungGen: 694849K->2641K(695808K)] 697418K->5211K(2093952K), 0.0008992 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
16.009: [GC [PSYoungGen: 695185K->2593K(695744K)] 697755K->5243K(2093888K), 0.0008435 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
16.357: [GC [PSYoungGen: 695137K->2673K(695872K)] 697787K->5323K(2094016K), 0.0009102 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
16.632: [GC [PSYoungGen: 695345K->2609K(695808K)] 697995K->5315K(2093952K), 0.0009107 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
16.952: [GC [PSYoungGen: 695281K->2609K(695936K)] 697987K->5371K(2094080K), 0.0010713 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
17.683: [GC [PSYoungGen: 695462K->2641K(695936K)] 698224K->5403K(2094080K), 0.0009293 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
19.085: [GC [PSYoungGen: 695505K->2657K(696000K)] 698267K->5419K(2094144K), 0.0009366 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
19.771: [GC [PSYoungGen: 695638K->2673K(696000K)] 698400K->5491K(2094144K), 0.0008926 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.287: [GC [PSYoungGen: 695650K->2577K(696064K)] 698468K->5451K(2094208K), 0.0009236 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
21.565: [GC [PSYoungGen: 695696K->2513K(696064K)] 698570K->5547K(2094208K), 0.0009900 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
21.886: [GC [PSYoungGen: 695633K->2609K(696064K)] 698667K->5643K(2094208K), 0.0009155 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
22.199: [GC [PSYoungGen: 695729K->2609K(696064K)] 698763K->5731K(2094208K), 0.0009710 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
22.512: [GC [PSYoungGen: 695729K->2705K(696128K)] 698851K->5827K(2094272K), 0.0009257 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
22.821: [GC [PSYoungGen: 695953K->2673K(696128K)] 699075K->5883K(2094272K), 0.0008895 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
23.140: [GC [PSYoungGen: 695921K->2561K(696128K)] 699131K->5827K(2094272K), 0.0008542 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
23.454: [GC [PSYoungGen: 695802K->2577K(696128K)] 699068K->5955K(2094272K), 0.0008989 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
23.736: [GC [PSYoungGen: 695825K->2657K(696128K)] 699203K->6035K(2094272K), 0.0009575 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
24.061: [GC [PSYoungGen: 695894K->2657K(696128K)] 699272K->6035K(2094272K), 0.0009131 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
24.390: [GC [PSYoungGen: 695905K->2593K(696192K)] 699283K->6043K(2094336K), 0.0008678 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
24.711: [GC [PSYoungGen: 695905K->2641K(696128K)] 699355K->6091K(2094272K), 0.0009140 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
25.021: [GC [PSYoungGen: 695953K->2721K(696192K)] 699403K->6171K(2094336K), 0.0008993 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
25.336: [GC [PSYoungGen: 696097K->2705K(696128K)] 699547K->6155K(2094272K), 0.0009290 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
25.652: [GC [PSYoungGen: 696081K->2641K(696192K)] 699531K->6091K(2094336K), 0.0009144 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
25.940: [GC [PSYoungGen: 695953K->2689K(696128K)] 699403K->6139K(2094272K), 0.0008781 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
26.297: [GC [PSYoungGen: 696001K->2657K(696192K)] 699451K->6107K(2094336K), 0.0008925 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
26.571: [GC [PSYoungGen: 696031K->2593K(696192K)] 699481K->6099K(2094336K), 0.0008736 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
26.887: [GC [PSYoungGen: 695956K->2673K(696192K)] 699462K->6179K(2094336K), 0.0009571 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.201: [GC [PSYoungGen: 696049K->2625K(696192K)] 699555K->6219K(2094336K), 0.0009297 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
27.518: [GC [PSYoungGen: 696001K->2593K(696192K)] 699595K->6243K(2094336K), 0.0010046 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.848: [GC [PSYoungGen: 695969K->2593K(696192K)] 699619K->6323K(2094336K), 0.0009009 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
28.162: [GC [PSYoungGen: 695969K->2561K(696192K)] 699699K->6347K(2094336K), 0.0008822 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
28.479: [GC [PSYoungGen: 695937K->2721K(696192K)] 699723K->6507K(2094336K), 0.0008990 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
28.756: [GC [PSYoungGen: 696097K->2561K(696192K)] 699883K->6403K(2094336K), 0.0009339 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
29.090: [GC [PSYoungGen: 695937K->2641K(696192K)] 699779K->6483K(2094336K), 0.0008755 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
29.406: [GC [PSYoungGen: 696017K->2705K(696192K)] 699859K->6547K(2094336K), 0.0008472 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
29.727: [GC [PSYoungGen: 696055K->2561K(696192K)] 699897K->6539K(2094336K), 0.0010093 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
30.051: [GC [PSYoungGen: 695937K->1456K(695808K)] 699915K->5443K(2093952K), 0.0006897 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
30.526: [GC [PSYoungGen: 694448K->2992K(696000K)] 698435K->16355K(2094144K), 0.0134084 secs] [Times: user=0.06 sys=0.01, real=0.02 secs] 
31.046: [GC [PSYoungGen: 695984K->3008K(680640K)] 709347K->28676K(2078784K), 0.0397202 secs] [Times: user=0.05 sys=0.02, real=0.04 secs] 
31.546: [GC [PSYoungGen: 680640K->10688K(688320K)] 706308K->37756K(2086464K), 0.0317004 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
32.040: [GC [PSYoungGen: 688320K->10688K(680512K)] 715388K->39236K(2078656K), 0.0318406 secs] [Times: user=0.04 sys=0.01, real=0.03 secs] 
32.524: [GC [PSYoungGen: 680512K->12064K(681920K)] 709060K->40692K(2080064K), 0.0310255 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
33.007: [GC [PSYoungGen: 681888K->12000K(681024K)] 710516K->40692K(2079168K), 0.0312911 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
33.483: [GC [PSYoungGen: 677088K->11840K(676928K)] 705780K->40596K(2075072K), 0.0301399 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
33.966: [GC [PSYoungGen: 676928K->11872K(680256K)] 705684K->40700K(2078400K), 0.0304899 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
