59.903: [GC [PSYoungGen: 173472K->128K(174144K)] 175281K->1937K(523712K), 0.0004470 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
60.776: [GC [PSYoungGen: 173632K->64K(174080K)] 175441K->1873K(523648K), 0.0005573 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
61.918: [GC [PSYoungGen: 173568K->256K(174144K)] 175377K->2065K(523712K), 0.0007361 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
63.124: [GC [PSYoungGen: 173824K->64K(174144K)] 175633K->1937K(523712K), 0.0004995 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
64.283: [GC [PSYoungGen: 173632K->32K(174208K)] 175505K->1905K(523776K), 0.0004112 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
65.472: [GC [PSYoungGen: 173728K->32K(174208K)] 175601K->1905K(523776K), 0.0004784 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
66.672: [GC [PSYoungGen: 173728K->64K(174272K)] 175601K->1937K(523840K), 0.0004632 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
67.879: [GC [PSYoungGen: 173824K->128K(174208K)] 175697K->2001K(523776K), 0.0004636 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
69.084: [GC [PSYoungGen: 173888K->32K(174272K)] 175761K->1905K(523840K), 0.0004992 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
70.672: [GC [PSYoungGen: 173856K->256K(174272K)] 175729K->2129K(523840K), 0.0005755 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
71.662: [GC [PSYoungGen: 174080K->32K(174272K)] 175953K->1953K(523840K), 0.0004975 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
72.661: [GC [PSYoungGen: 173856K->32K(174272K)] 175777K->1953K(523840K), 0.0004787 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
73.667: [GC [PSYoungGen: 173856K->32K(174336K)] 175777K->1953K(523904K), 0.0005350 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
74.674: [GC [PSYoungGen: 173920K->32K(174272K)] 175841K->1953K(523840K), 0.0004654 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
75.668: [GC [PSYoungGen: 173920K->32K(174336K)] 175841K->1953K(523904K), 0.0005320 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
76.663: [GC [PSYoungGen: 173984K->64K(174336K)] 175905K->1985K(523904K), 0.0004902 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.672: [GC [PSYoungGen: 174016K->224K(174272K)] 175937K->2145K(523840K), 0.0004654 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
78.784: [GC [PSYoungGen: 174174K->256K(174336K)] 176095K->2177K(523904K), 0.0005143 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
79.311: [GC [PSYoungGen: 174208K->32K(174336K)] 176129K->2017K(523904K), 0.0005518 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
79.849: [GC [PSYoungGen: 173984K->64K(174336K)] 175969K->2049K(523904K), 0.0004315 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
80.372: [GC [PSYoungGen: 174016K->64K(174336K)] 176001K->2049K(523904K), 0.0003938 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
80.900: [GC [PSYoungGen: 174016K->96K(174336K)] 176001K->2081K(523904K), 0.0004317 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
81.416: [GC [PSYoungGen: 174048K->32K(174400K)] 176033K->2017K(523968K), 0.0003753 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
81.940: [GC [PSYoungGen: 174112K->64K(174400K)] 176097K->2049K(523968K), 0.0005123 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
82.465: [GC [PSYoungGen: 174144K->32K(174400K)] 176129K->2017K(523968K), 0.0005179 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
82.990: [GC [PSYoungGen: 174112K->96K(174400K)] 176097K->2081K(523968K), 0.0004275 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
83.530: [GC [PSYoungGen: 174176K->96K(174464K)] 176161K->2081K(524032K), 0.0004391 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
84.053: [GC [PSYoungGen: 174240K->32K(174400K)] 176225K->2017K(523968K), 0.0004146 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
84.567: [GC [PSYoungGen: 174176K->64K(174464K)] 176161K->2049K(524032K), 0.0004223 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
85.089: [GC [PSYoungGen: 174272K->96K(174464K)] 176257K->2081K(524032K), 0.0004611 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
85.612: [GC [PSYoungGen: 174304K->32K(174464K)] 176289K->2017K(524032K), 0.0003955 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
